what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1455931454529
started,bundle,org.eclipse.osgi,3.10.101.v20150820-1432,"org.eclipse.osgi",1455931454531
started,bundle,org.eclipse.equinox.simpleconfigurator,1.1.100.v20150423-1455,"org.eclipse.equinox.simpleconfigurator",1455931454554
started,bundle,com.ibm.icu,54.1.1.v201501272100,"com.ibm.icu",1455931454554
started,bundle,org.apache.felix.gogo.command,0.10.0.v201209301215,"org.apache.felix.gogo.command",1455931454555
started,bundle,org.apache.felix.gogo.runtime,0.10.0.v201209301036,"org.apache.felix.gogo.runtime",1455931454555
started,bundle,org.apache.felix.gogo.shell,0.10.0.v201212101605,"org.apache.felix.gogo.shell",1455931454556
started,bundle,org.eclipse.compare.core,3.5.500.v20150505-1058,"org.eclipse.compare.core",1455931454556
started,bundle,org.eclipse.core.contenttype,3.5.0.v20150421-2214,"org.eclipse.core.contenttype",1455931454556
started,bundle,org.eclipse.core.databinding.observable,1.5.0.v20150422-0725,"org.eclipse.core.databinding.observable",1455931454557
started,bundle,org.eclipse.core.databinding.property,1.5.0.v20150422-0725,"org.eclipse.core.databinding.property",1455931454557
started,bundle,org.eclipse.core.expressions,3.5.0.v20150421-2214,"org.eclipse.core.expressions",1455931454558
started,bundle,org.eclipse.core.filebuffers,3.5.500.v20140723-1040,"org.eclipse.core.filebuffers",1455931454558
started,bundle,org.eclipse.core.filesystem,1.5.0.v20150725-1910,"org.eclipse.core.filesystem",1455931454558
started,bundle,org.eclipse.core.jobs,3.7.0.v20150330-2103,"org.eclipse.core.jobs",1455931454558
started,bundle,org.eclipse.core.net,1.2.300.v20141118-1725,"org.eclipse.core.net",1455931454559
started,bundle,org.eclipse.core.resources,3.10.1.v20150725-1910,"org.eclipse.core.resources",1455931454570
started,bundle,org.eclipse.core.runtime,3.11.1.v20150903-1804,"org.eclipse.core.runtime",1455931454597
started,bundle,org.eclipse.core.runtime.compatibility,3.2.300.v20150423-0821,"org.eclipse.core.runtime.compatibility",1455931454597
started,bundle,org.eclipse.core.variables,3.2.800.v20130819-1716,"org.eclipse.core.variables",1455931454598
started,bundle,org.eclipse.debug.core,3.10.0.v20150303-1130,"org.eclipse.debug.core",1455931454598
started,bundle,org.eclipse.e4.core.commands,0.11.0.v20150422-0725,"org.eclipse.e4.core.commands",1455931454599
started,bundle,org.eclipse.e4.core.contexts,1.4.0.v20150828-0818,"org.eclipse.e4.core.contexts",1455931454599
started,bundle,org.eclipse.e4.core.di,1.5.0.v20150421-2214,"org.eclipse.e4.core.di",1455931454599
started,bundle,org.eclipse.e4.core.di.extensions,0.13.0.v20150421-2214,"org.eclipse.e4.core.di.extensions",1455931454600
started,bundle,org.eclipse.e4.core.services,2.0.0.v20150403-1912,"org.eclipse.e4.core.services",1455931454600
started,bundle,org.eclipse.e4.ui.bindings,0.11.0.v20150422-0725,"org.eclipse.e4.ui.bindings",1455931454601
started,bundle,org.eclipse.e4.ui.css.swt,0.12.0.v20150511-1003,"org.eclipse.e4.ui.css.swt",1455931454601
started,bundle,org.eclipse.e4.ui.css.swt.theme,0.10.0.v20150422-0725,"org.eclipse.e4.ui.css.swt.theme",1455931454602
started,bundle,org.eclipse.e4.ui.di,1.1.0.v20150422-0725,"org.eclipse.e4.ui.di",1455931454602
started,bundle,org.eclipse.e4.ui.model.workbench,1.1.100.v20150407-1430,"org.eclipse.e4.ui.model.workbench",1455931454603
started,bundle,org.eclipse.e4.ui.services,1.2.0.v20150422-0725,"org.eclipse.e4.ui.services",1455931454603
started,bundle,org.eclipse.e4.ui.workbench,1.3.0.v20150531-1948,"org.eclipse.e4.ui.workbench",1455931454604
started,bundle,org.eclipse.e4.ui.workbench.addons.swt,1.2.0.v20150512-1414,"org.eclipse.e4.ui.workbench.addons.swt",1455931454604
started,bundle,org.eclipse.e4.ui.workbench.renderers.swt,0.13.0.v20150901-1347,"org.eclipse.e4.ui.workbench.renderers.swt",1455931454605
started,bundle,org.eclipse.e4.ui.workbench.swt,0.13.0.v20150504-0621,"org.eclipse.e4.ui.workbench.swt",1455931454606
started,bundle,org.eclipse.ecf,3.5.0.v20150810-1719,"org.eclipse.ecf",1455931454606
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20150810-1719,"org.eclipse.ecf.filetransfer",1455931454607
started,bundle,org.eclipse.ecf.identity,3.6.0.v20150810-1719,"org.eclipse.ecf.identity",1455931454607
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.200.v20150810-1719,"org.eclipse.ecf.provider.filetransfer",1455931454607
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient4,1.0.2000.v20150810-1719,"org.eclipse.ecf.provider.filetransfer.httpclient4",1455931454608
started,bundle,org.eclipse.egit.core,4.0.3.201509231615-r,"org.eclipse.egit.core",1455931454608
started,bundle,org.eclipse.egit.ui,4.0.3.201509231615-r,"org.eclipse.egit.ui",1455931454621
started,bundle,org.eclipse.emf.common,2.11.0.v20150805-0538,"org.eclipse.emf.common",1455931454621
started,bundle,org.eclipse.emf.common.ui,2.10.0.v20150806-0404,"org.eclipse.emf.common.ui",1455931454621
started,bundle,org.eclipse.emf.ecore,2.11.1.v20150805-0538,"org.eclipse.emf.ecore",1455931454621
started,bundle,org.eclipse.emf.ecore.xmi,2.11.1.v20150805-0538,"org.eclipse.emf.ecore.xmi",1455931454622
started,bundle,org.eclipse.emf.edit,2.11.1.v20150806-0404,"org.eclipse.emf.edit",1455931454622
started,bundle,org.eclipse.epp.logging.aeri.ui,1.0.1.v20150913-0716,"org.eclipse.epp.logging.aeri.ui",1455931454622
started,bundle,org.eclipse.equinox.app,1.3.300.v20150423-1356,"org.eclipse.equinox.app",1455931454623
started,bundle,org.eclipse.equinox.common,3.7.0.v20150402-1709,"org.eclipse.equinox.common",1455931454623
started,bundle,org.eclipse.equinox.console,1.1.100.v20141023-1406,"org.eclipse.equinox.console",1455931454624
started,bundle,org.eclipse.equinox.ds,1.4.300.v20150423-1356,"org.eclipse.equinox.ds",1455931454624
started,bundle,org.eclipse.equinox.event,1.3.100.v20140115-1647,"org.eclipse.equinox.event",1455931454624
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.400.v20150513-2116,"org.eclipse.equinox.p2.artifact.repository",1455931454625
started,bundle,org.eclipse.equinox.p2.core,2.4.0.v20150527-1706,"org.eclipse.equinox.p2.core",1455931454625
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.1.100.v20150423-1455,"org.eclipse.equinox.p2.directorywatcher",1455931454626
started,bundle,org.eclipse.equinox.p2.engine,2.4.0.v20150511-1532,"org.eclipse.equinox.p2.engine",1455931454626
started,bundle,org.eclipse.equinox.p2.metadata,2.3.0.v20150511-1532,"org.eclipse.equinox.p2.metadata",1455931454627
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.200.v20150428-1613,"org.eclipse.equinox.p2.metadata.repository",1455931454627
started,bundle,org.eclipse.equinox.p2.operations,2.4.100.v20150423-1455,"org.eclipse.equinox.p2.operations",1455931454627
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.300.v20150423-1455,"org.eclipse.equinox.p2.reconciler.dropins",1455931454630
started,bundle,org.eclipse.equinox.p2.repository,2.3.100.v20150428-1613,"org.eclipse.equinox.p2.repository",1455931454630
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.1.100.v20150521-1342,"org.eclipse.equinox.p2.transport.ecf",1455931454630
started,bundle,org.eclipse.equinox.p2.ui,2.4.0.v20150425-0422,"org.eclipse.equinox.p2.ui",1455931454631
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.2.100.v20150423-1455,"org.eclipse.equinox.p2.ui.sdk.scheduler",1455931454637
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20131119-0908,"org.eclipse.equinox.p2.updatechecker",1455931454638
started,bundle,org.eclipse.equinox.preferences,3.5.300.v20150408-1437,"org.eclipse.equinox.preferences",1455931454638
started,bundle,org.eclipse.equinox.registry,3.6.0.v20150318-1503,"org.eclipse.equinox.registry",1455931454639
started,bundle,org.eclipse.equinox.security,1.2.100.v20150423-1356,"org.eclipse.equinox.security",1455931454639
started,bundle,org.eclipse.equinox.util,1.0.500.v20130404-1337,"org.eclipse.equinox.util",1455931454639
started,bundle,org.eclipse.help,3.6.0.v20130326-1254,"org.eclipse.help",1455931454640
started,bundle,org.eclipse.jface,3.11.0.v20150602-1400,"org.eclipse.jface",1455931454641
started,bundle,org.eclipse.jgit,4.0.3.201509231615-r,"org.eclipse.jgit",1455931454641
started,bundle,org.eclipse.jsch.core,1.2.0.v20141202-1415,"org.eclipse.jsch.core",1455931454641
started,bundle,org.eclipse.ltk.core.refactoring,3.6.201.v20150819-1034,"org.eclipse.ltk.core.refactoring",1455931454642
started,bundle,org.eclipse.ltk.ui.refactoring,3.7.200.v20140625-1835,"org.eclipse.ltk.ui.refactoring",1455931454643
started,bundle,org.eclipse.m2e.logback.configuration,1.6.2.20150902-0002,"org.eclipse.m2e.logback.configuration",1455931454643
started,bundle,org.eclipse.mylyn.bugzilla.core,3.17.0.v20150828-2026,"org.eclipse.mylyn.bugzilla.core",1455931454643
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.17.0.v20150717-1708,"org.eclipse.mylyn.bugzilla.ui",1455931454644
started,bundle,org.eclipse.mylyn.builds.ui,1.9.0.v20150908-1655,"org.eclipse.mylyn.builds.ui",1455931454646
